버스정류장ars번호,시간대,승차비율,하차비율
01267,0,0.0,0.0
01267,1,0.0,0.0
01267,2,0.0,0.0
01267,3,0.0,0.0
01267,4,0.0,0.0
01267,6,0.29,4.27
01267,7,0.66,11.17
01267,8,0.78,17.75
01267,9,0.85,13.17
01267,10,1.17,8.91
01267,11,2.45,8.71
01267,12,3.59,7.21
01267,13,5.16,6.18
01267,14,7.64,4.83
01267,15,10.19,3.8
01267,16,9.84,3.08
01267,17,10.26,2.98
01267,18,14.58,2.24
01267,19,10.04,2.2
01267,20,8.44,1.26
01267,21,8.31,1.18
01267,22,5.75,1.08
01272,0,0.03,0.01
01272,1,0.0,0.0
01272,2,0.0,0.0
01272,3,0.0,0.0
01272,4,0.0,0.0
01272,6,1.33,3.88
01272,7,2.25,7.39
01272,8,1.48,10.68
01272,9,1.31,10.4
01272,10,1.49,10.11
01272,11,1.93,10.43
01272,12,2.73,8.69
01272,13,4.04,7.44
01272,14,5.5,5.88
01272,15,7.43,4.5
01272,16,9.16,3.87
01272,17,11.33,4.24
01272,18,14.86,3.59
01272,19,8.49,3.08
01272,20,8.37,2.4
01272,21,9.62,1.92
01272,22,8.63,1.51
02001,0,0.76,0.71
02001,1,0.0,0.0
02001,2,0.0,0.0
02001,3,0.0,0.0
02001,4,0.0,0.0
02001,6,1.91,1.57
02001,7,3.44,3.64
02001,8,3.54,6.13
02001,9,2.98,5.35
02001,10,2.5,5.57
02001,11,2.81,6.85
02001,12,3.78,7.66
02001,13,4.77,6.57
02001,14,5.73,6.33
02001,15,7.21,6.6
02001,16,8.07,6.79
02001,17,9.57,7.43
02001,18,8.53,5.76
02001,19,8.3,5.7
02001,20,8.68,5.34
02001,21,8.52,5.42
02001,22,8.89,6.61
02002,0,0.01,0.0
02002,1,0.0,0.0
02002,2,0.0,0.0
02002,3,0.0,0.0
02002,4,0.0,0.0
02002,6,3.8,3.25
02002,7,11.65,8.43
02002,8,20.34,12.19
02002,9,12.39,10.64
02002,10,7.71,8.15
02002,11,6.59,8.19
02002,12,6.07,7.7
02002,13,5.32,7.42
02002,14,4.31,6.19
02002,15,3.78,5.12
02002,16,3.92,5.12
02002,17,4.38,5.15
02002,18,3.42,4.0
02002,19,2.86,3.51
02002,20,1.52,2.04
02002,21,1.12,1.61
02002,22,0.81,1.28
02005,0,0.28,0.06
02005,1,0.0,0.0
02005,2,0.0,0.0
02005,3,0.0,0.0
02005,4,0.0,0.0
02005,6,4.18,4.78
02005,7,7.18,7.41
02005,8,5.86,6.06
02005,9,4.03,6.43
02005,10,3.21,5.6
02005,11,3.26,6.21
02005,12,3.81,6.64
02005,13,4.07,6.26
02005,14,4.09,5.65
02005,15,5.1,5.82
02005,16,6.6,5.33
02005,17,8.25,6.02
02005,18,9.34,5.41
02005,19,7.17,6.11
02005,20,6.62,5.47
02005,21,8.37,5.36
02005,22,8.58,5.38
02121,0,0.47,0.19
02121,1,0.0,0.0
02121,2,0.0,0.0
02121,3,0.0,0.0
02121,4,0.0,0.0
02121,6,3.12,3.01
02121,7,4.6,11.8
02121,8,3.5,6.65
02121,9,2.52,4.24
02121,10,2.4,5.81
02121,11,3.14,7.39
02121,12,3.99,7.86
02121,13,4.72,7.34
02121,14,5.55,7.18
02121,15,6.77,5.95
02121,16,7.76,5.84
02121,17,11.02,6.84
02121,18,13.82,5.22
02121,19,7.57,3.16
02121,20,6.22,3.83
02121,21,6.69,3.69
02121,22,6.16,4.0
02139,0,0.03,0.0
02139,1,0.0,0.0
02139,2,0.0,0.0
02139,3,0.0,0.0
02139,4,0.0,0.0
02139,6,0.86,4.4
02139,7,3.03,9.08
02139,8,4.55,12.46
02139,9,4.34,12.31
02139,10,4.0,7.83
02139,11,4.61,7.55
02139,12,4.66,7.09
02139,13,6.29,6.31
02139,14,5.9,5.26
02139,15,5.91,4.2
02139,16,6.54,4.02
02139,17,6.76,4.4
02139,18,10.17,3.88
02139,19,7.97,4.14
02139,20,8.68,2.68
02139,21,8.85,2.44
02139,22,6.85,1.94
02142,0,0.54,0.23
02142,1,0.0,0.01
02142,2,0.0,0.0
02142,3,0.0,0.0
02142,4,0.0,0.0
02142,6,1.46,0.69
02142,7,1.93,0.87
02142,8,1.72,2.05
02142,9,1.59,2.32
02142,10,1.53,4.0
02142,11,2.28,6.35
02142,12,2.8,8.12
02142,13,3.59,8.84
02142,14,4.96,9.51
02142,15,6.38,9.44
02142,16,7.68,9.81
02142,17,11.33,9.8
02142,18,14.1,9.2
02142,19,10.76,6.51
02142,20,9.68,5.55
02142,21,8.88,4.03
02142,22,8.78,2.67
02233,0,0.07,0.05
02233,1,0.0,0.0
02233,2,0.0,0.0
02233,3,0.0,0.0
02233,4,0.0,0.0
02233,6,0.86,9.19
02233,7,1.45,10.58
02233,8,1.05,10.86
02233,9,1.26,7.37
02233,10,2.27,6.87
02233,11,2.95,7.91
02233,12,3.59,7.18
02233,13,4.78,6.15
02233,14,5.62,5.09
02233,15,6.82,4.39
02233,16,8.44,3.95
02233,17,13.2,3.98
02233,18,18.78,3.91
02233,19,8.8,3.15
02233,20,7.16,3.01
02233,21,7.54,3.34
02233,22,5.38,3.02
03161,0,0.0,0.0
03161,1,0.0,0.0
03161,2,0.0,0.0
03161,3,0.0,0.0
03161,4,0.0,0.0
03161,6,0.68,0.84
03161,7,6.15,8.76
03161,8,8.08,9.4
03161,9,6.0,9.81
03161,10,2.34,5.75
03161,11,1.95,5.52
03161,12,2.5,5.95
03161,13,2.85,5.45
03161,14,3.14,4.31
03161,15,5.13,4.24
03161,16,7.13,5.18
03161,17,10.53,8.0
03161,18,16.29,10.33
03161,19,9.12,7.59
03161,20,5.24,4.32
03161,21,5.83,2.62
03161,22,7.03,1.92
03163,0,0.04,0.01
03163,1,0.0,0.0
03163,2,0.0,0.0
03163,3,0.0,0.0
03163,4,0.0,0.0
03163,6,1.3,2.29
03163,7,6.77,7.37
03163,8,9.18,9.13
03163,9,7.92,10.38
03163,10,5.86,8.81
03163,11,5.48,7.92
03163,12,6.21,7.53
03163,13,6.16,6.73
03163,14,5.67,5.66
03163,15,5.54,4.85
03163,16,6.06,5.06
03163,17,6.88,5.46
03163,18,8.78,5.34
03163,19,6.51,5.03
03163,20,3.71,3.4
03163,21,3.81,2.82
03163,22,4.11,2.23
03164,0,0.66,0.87
03164,1,0.0,0.01
03164,2,0.0,0.0
03164,3,0.0,0.0
03164,4,0.0,0.0
03164,6,2.31,1.35
03164,7,5.59,3.32
03164,8,5.75,4.23
03164,9,5.62,6.21
03164,10,3.28,6.87
03164,11,2.87,7.26
03164,12,3.38,8.29
03164,13,4.23,7.64
03164,14,5.2,6.78
03164,15,6.86,6.8
03164,16,8.15,7.34
03164,17,9.2,7.94
03164,18,7.97,6.84
03164,19,7.18,6.09
03164,20,6.38,3.94
03164,21,7.2,3.75
03164,22,8.17,4.47
04189,0,0.0,0.0
04189,1,0.0,0.0
04189,2,0.0,0.0
04189,3,0.0,0.0
04189,4,100.0,100.0
04189,6,0.0,0.0
04189,7,0.0,0.0
04189,8,0.0,0.0
04189,9,0.0,0.0
04189,10,0.0,0.0
04189,11,0.0,0.0
04189,12,0.0,0.0
04189,13,0.0,0.0
04189,14,0.0,0.0
04189,15,0.0,0.0
04189,16,0.0,0.0
04189,17,0.0,0.0
04189,18,0.0,0.0
04189,19,0.0,0.0
04189,20,0.0,0.0
04189,21,0.0,0.0
04189,22,0.0,0.0
04190,0,0.0,0.0
04190,1,0.0,0.0
04190,2,0.0,0.0
04190,3,0.0,0.0
04190,4,100.0,100.0
04190,6,0.0,0.0
04190,7,0.0,0.0
04190,8,0.0,0.0
04190,9,0.0,0.0
04190,10,0.0,0.0
04190,11,0.0,0.0
04190,12,0.0,0.0
04190,13,0.0,0.0
04190,14,0.0,0.0
04190,15,0.0,0.0
04190,16,0.0,0.0
04190,17,0.0,0.0
04190,18,0.0,0.0
04190,19,0.0,0.0
04190,20,0.0,0.0
04190,21,0.0,0.0
04190,22,0.0,0.0
04207,0,0.0,0.0
04207,1,0.0,0.0
04207,2,0.0,0.0
04207,3,0.0,0.0
04207,4,100.0,100.0
04207,6,0.0,0.0
04207,7,0.0,0.0
04207,8,0.0,0.0
04207,9,0.0,0.0
04207,10,0.0,0.0
04207,11,0.0,0.0
04207,12,0.0,0.0
04207,13,0.0,0.0
04207,14,0.0,0.0
04207,15,0.0,0.0
04207,16,0.0,0.0
04207,17,0.0,0.0
04207,18,0.0,0.0
04207,19,0.0,0.0
04207,20,0.0,0.0
04207,21,0.0,0.0
04207,22,0.0,0.0
04208,0,0.0,0.0
04208,1,0.0,0.0
04208,2,0.0,0.0
04208,3,0.0,0.0
04208,4,100.0,100.0
04208,6,0.0,0.0
04208,7,0.0,0.0
04208,8,0.0,0.0
04208,9,0.0,0.0
04208,10,0.0,0.0
04208,11,0.0,0.0
04208,12,0.0,0.0
